stem,route,n_classes,class_total,record_gpw,loader_reconciles,T,T_sources,ratio,working_sample,hhi,mechanism,detail
syndicate_2014_2016,det:azure_text_fallback,3,89.5,89.5,True,144.806,azure:t2+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.618,True,0.4975987016634937,TEXT-NOT-PREMIUM,0/3 adopted amounts are rows of the models' premium table
syndicate_1880_2014,det:azure,4,91.5,91.4,True,146.974,azure:t6+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.623,False,0.7535095105855651,RI-ACCEPT,"t3: 'Reinsurance acceptances' 55,581"
syndicate_1414_2021,det:azure,8,656.0,655.9,True,1043.753,azure:t4+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.629,True,0.28051398118769766,RI-ACCEPT,"t5: 'Reinsurance Acceptances' 387,897"
syndicate_2999_2023,det:azure,7,1401.3,1401.3,True,2224.9,azure:t1+azure:t2+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.63,True,0.3318793917909258,RI-ACCEPT,t7: 'Reinsurance acceptances' 823.6
syndicate_2999_2024,det:azure,7,1610.9,1610.8,True,2536.215,azure:t1+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.635,True,0.3411291046907736,RI-ACCEPT,"t6: 'Reinsurance acceptances' 925,365"
syndicate_2999_2020,det:azure,7,916.4,916.4,True,1436.7,azure:t1+azure:t2+gpt-5-mini:gpw,0.638,True,0.32666121602965853,RI-ACCEPT,t7: 'Reinsurance acceptances' 520.3
syndicate_3500_2023,det:azure,6,1551.1,1551.0,True,2426.384,azure:t1+gemini-2.5-flash:gpw+gpt-5-mini:gpw,0.639,True,0.4361582695314845,RI-ACCEPT,"t10: 'Reinsurance acceptances' 875,334"
syndicate_2999_2021,det:azure,7,948.8,948.8,True,1483.3,azure:t1+azure:t2+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.64,True,0.34254548514357824,RI-ACCEPT,t7: 'Reinsurance acceptances' 534.5
syndicate_1176_2024,det:azure,5,22.1,22.1,True,34.153,azure:t0+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.647,True,0.5885424131365042,RI-ACCEPT,"t1: 'Reinsurance acceptances' 22,470; 'Reinsurance acceptances' 26,547"
syndicate_1206_2016,det:azure_text_fallback,7,154.5,154.4,True,237.907,azure:t0+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.649,True,0.2927216251082281,TEXT-MIXED,2/7 adopted amounts are rows of the models' premium table
