series,value,exceedance_probability
Adjusted target,0.007077,0.916667
Adjusted target,0.007592,0.913978
Adjusted target,0.007821,0.91129
Adjusted target,0.008195,0.908602
Adjusted target,0.008689,0.905914
Adjusted target,0.008988,0.903226
Adjusted target,0.009498,0.900538
Adjusted target,0.009976,0.897849
Adjusted target,0.009979,0.895161
Adjusted target,0.010052,0.892473
Adjusted target,0.010053,0.889785
Adjusted target,0.010311,0.887097
Adjusted target,0.010334,0.884409
Adjusted target,0.010409,0.88172
Adjusted target,0.010718,0.879032
Adjusted target,0.010802,0.876344
Adjusted target,0.011107,0.873656
Adjusted target,0.01117,0.870968
Adjusted target,0.011719,0.86828
Adjusted target,0.012012,0.865591
Adjusted target,0.012114,0.862903
Adjusted target,0.012221,0.860215
Adjusted target,0.012295,0.857527
Adjusted target,0.012708,0.854839
Adjusted target,0.013049,0.852151
Adjusted target,0.013127,0.849462
Adjusted target,0.013221,0.846774
Adjusted target,0.013223,0.844086
Adjusted target,0.014012,0.841398
Adjusted target,0.014434,0.83871
Adjusted target,0.01444,0.836022
Adjusted target,0.014533,0.833333
Adjusted target,0.014586,0.830645
Adjusted target,0.014879,0.827957
Adjusted target,0.015032,0.825269
Adjusted target,0.015315,0.822581
Adjusted target,0.015429,0.819892
Adjusted target,0.015639,0.817204
Adjusted target,0.015977,0.814516
Adjusted target,0.015996,0.811828
Adjusted target,0.016054,0.80914
Adjusted target,0.01606,0.806452
Adjusted target,0.016241,0.803763
Adjusted target,0.01629,0.801075
Adjusted target,0.016939,0.798387
Adjusted target,0.01702,0.795699
Adjusted target,0.017278,0.793011
Adjusted target,0.017641,0.790323
Adjusted target,0.018482,0.787634
Adjusted target,0.018657,0.784946
Adjusted target,0.018675,0.782258
Adjusted target,0.018906,0.77957
Adjusted target,0.018959,0.776882
Adjusted target,0.019553,0.774194
Adjusted target,0.020013,0.771505
Adjusted target,0.020021,0.768817
Adjusted target,0.020081,0.766129
Adjusted target,0.020247,0.763441
Adjusted target,0.020568,0.760753
Adjusted target,0.020691,0.758065
Adjusted target,0.021237,0.755376
Adjusted target,0.02134,0.752688
Adjusted target,0.021451,0.75
Adjusted target,0.022102,0.747312
Adjusted target,0.022713,0.744624
Adjusted target,0.022756,0.741935
Adjusted target,0.023298,0.739247
Adjusted target,0.024539,0.736559
Adjusted target,0.024619,0.733871
Adjusted target,0.024658,0.731183
Adjusted target,0.025112,0.728495
Adjusted target,0.025337,0.725806
Adjusted target,0.02597,0.723118
Adjusted target,0.026507,0.72043
Adjusted target,0.026606,0.717742
Adjusted target,0.026654,0.715054
Adjusted target,0.026731,0.712366
Adjusted target,0.026955,0.709677
Adjusted target,0.027299,0.706989
Adjusted target,0.027394,0.704301
Adjusted target,0.027557,0.701613
Adjusted target,0.027802,0.698925
Adjusted target,0.027829,0.696237
Adjusted target,0.028126,0.693548
Adjusted target,0.028233,0.69086
Adjusted target,0.028688,0.688172
Adjusted target,0.029113,0.685484
Adjusted target,0.029344,0.682796
Adjusted target,0.029523,0.680108
Adjusted target,0.030226,0.677419
Adjusted target,0.030764,0.674731
Adjusted target,0.031026,0.672043
Adjusted target,0.031377,0.669355
Adjusted target,0.031405,0.666667
