series,index,value
Raw market,591,0.097923
Raw market,592,0.098237
Raw market,593,0.098246
Raw market,594,0.098474
Raw market,595,0.099063
Raw market,596,0.099073
Raw market,597,0.099113
Raw market,598,0.100571
Raw market,599,0.101335
Raw market,600,0.10179
Raw market,601,0.101937
Raw market,602,0.103119
Raw market,603,0.103451
Raw market,604,0.103942
Raw market,605,0.10427
Raw market,606,0.105774
Raw market,607,0.106391
Raw market,608,0.106564
Raw market,609,0.106852
Raw market,610,0.109871
Raw market,611,0.110708
Raw market,612,0.112861
Raw market,613,0.113263
Raw market,614,0.11394
Raw market,615,0.114179
Raw market,616,0.11468
Raw market,617,0.115972
Raw market,618,0.117846
Raw market,619,0.118835
Raw market,620,0.119464
Raw market,621,0.120351
Raw market,622,0.120448
Raw market,623,0.121371
Raw market,624,0.121637
Raw market,625,0.12397
Raw market,626,0.124167
Raw market,627,0.126891
Raw market,628,0.128021
Raw market,629,0.128976
Raw market,630,0.130439
Raw market,631,0.130821
Raw market,632,0.130947
Raw market,633,0.131209
Raw market,634,0.135827
Raw market,635,0.13733
Raw market,636,0.138011
Raw market,637,0.138613
Raw market,638,0.138762
Raw market,639,0.139275
Raw market,640,0.140029
Raw market,641,0.140099
Raw market,642,0.140214
Raw market,643,0.141591
Raw market,644,0.144012
Raw market,645,0.144579
Raw market,646,0.145008
Raw market,647,0.145291
Raw market,648,0.145554
Raw market,649,0.151419
Raw market,650,0.151822
Raw market,651,0.15559
Raw market,652,0.158503
Raw market,653,0.160025
Raw market,654,0.16241
Raw market,655,0.167126
Raw market,656,0.173105
Raw market,657,0.175601
Raw market,658,0.17727
Raw market,659,0.178974
Raw market,660,0.183042
Raw market,661,0.187612
Raw market,662,0.189387
Raw market,663,0.191041
Raw market,664,0.193249
Raw market,665,0.195388
Raw market,666,0.200683
Raw market,667,0.204231
Raw market,668,0.206633
Raw market,669,0.206803
Raw market,670,0.21126
Raw market,671,0.212282
Raw market,672,0.213977
Raw market,673,0.219877
Raw market,674,0.224095
Raw market,675,0.224293
Raw market,676,0.224867
Raw market,677,0.225383
Raw market,678,0.229443
Raw market,679,0.232768
Raw market,680,0.234669
Raw market,681,0.235662
Raw market,682,0.245733
Raw market,683,0.259077
Raw market,684,0.266114
Raw market,685,0.267301
Raw market,686,0.272358
Raw market,687,0.274371
Raw market,688,0.276782
Raw market,689,0.279391
Raw market,690,0.28675
Raw market,691,0.292707
Raw market,692,0.303016
Raw market,693,0.3031
Raw market,694,0.309751
Raw market,695,0.314593
Raw market,696,0.317134
Raw market,697,0.321789
Raw market,698,0.322858
Raw market,699,0.356296
Raw market,700,0.359851
Raw market,701,0.363732
Raw market,702,0.389014
Raw market,703,0.407563
Raw market,704,0.40983
Raw market,705,0.419404
Raw market,706,0.420292
Raw market,707,0.454545
Raw market,708,0.476308
Raw market,709,0.476308
Raw market,710,0.476308
Raw market,711,0.476745
Raw market,712,0.554207
Raw market,713,0.559397
Raw market,714,0.634074
Raw market,715,0.648021
Raw market,716,0.653798
Raw market,717,0.76535
Raw market,718,0.766248
Raw market,719,0.769478
Raw market,720,0.782212
Raw market,721,0.838984
Raw market,722,0.91018
Raw market,723,1.015082
Raw market,724,1.126038
Raw market,725,1.174316
Adjusted target,0,-0.516564
Adjusted target,1,-0.455594
Adjusted target,2,-0.445643
Adjusted target,3,-0.370773
Adjusted target,4,-0.343896
Adjusted target,5,-0.333061
Adjusted target,6,-0.322419
Adjusted target,7,-0.317152
Adjusted target,8,-0.269021
Adjusted target,9,-0.224983
Adjusted target,10,-0.219008
