donor_observation_id,S_raw,S_size_old,S_adj_old,S_size_new,S_adj_new
2232_2021,0.018757,0.014909,0.014333,0.015952,0.015525
2232_2022,-0.033496,-0.027089,-0.02609,-0.028982,-0.028261
2232_2023,-0.02373,-0.020768,-0.020038,-0.022219,-0.021705
2255_2015,-0.067269,-0.045289,-0.042889,-0.048479,-0.046458
2357_2024,-0.104754,-0.089195,-0.08479,-0.095467,-0.091845
2358_2024,0.140099,0.046703,0.045321,0.049956,0.049092
2468_2015,0.05854,0.051752,0.050204,0.055358,0.054381
2468_2016,0.224293,0.198284,0.188452,0.212227,0.204132
2468_2017,-0.066454,-0.061249,-0.060003,-0.065496,-0.064996
2468_2018,0.031127,0.028201,0.027742,0.030153,0.03005
2468_2019,0.135827,0.101514,0.099323,0.108557,0.107587
2468_2020,0.183042,0.143701,0.138967,0.153726,0.15053
2468_2021,-0.132288,-0.110786,-0.107309,-0.118509,-0.116237
2488_2015,-0.056836,-0.061026,-0.059528,-0.065266,-0.064481
2488_2016,-0.029199,-0.03048,-0.029495,-0.032606,-0.03195
2488_2017,-0.032976,-0.034948,-0.033899,-0.037382,-0.03672
2488_2018,-0.04357,-0.046448,-0.045686,-0.049662,-0.049488
2488_2019,-0.003094,-0.003271,-0.003219,-0.003497,-0.003487
2525_2014,-0.190304,-0.099336,-0.090359,-0.106452,-0.097878
2525_2015,-0.043197,-0.021586,-0.019636,-0.023133,-0.021269
2525_2016,-0.169193,-0.0838,-0.076227,-0.089804,-0.08257
2525_2017,-0.115872,-0.063023,-0.057506,-0.067532,-0.06229
2525_2018,-0.073896,-0.040242,-0.036605,-0.043125,-0.039651
2525_2019,0.008544,0.004766,0.004336,0.005108,0.004696
2525_2020,-0.012242,-0.007268,-0.006611,-0.007789,-0.007161
2525_2021,-0.03087,-0.019002,-0.017285,-0.020363,-0.018723
2525_2022,-0.01153,-0.007387,-0.006811,-0.007914,-0.007377
2525_2023,-0.064397,-0.043768,-0.039813,-0.046903,-0.043125
2526_2014,0.3031,0.146169,0.136543,0.156526,0.147904
2526_2015,0.279391,0.147783,0.134787,0.158359,0.146001
2526_2016,0.213977,0.129164,0.119339,0.138358,0.129268
2526_2017,-0.06504,-0.04219,-0.039001,-0.045193,-0.042246
2623_2014,-0.01686,-0.022343,-0.021349,-0.02391,-0.023126
2623_2015,-0.056983,-0.075897,-0.072257,-0.08123,-0.078269
2623_2016,-0.023436,-0.032618,-0.030884,-0.034915,-0.033454
2623_2017,-0.010163,-0.013759,-0.013156,-0.014724,-0.01425
2623_2021,-0.024678,-0.036096,-0.035503,-0.038594,-0.038457
2623_2024,-0.030614,-0.049428,-0.046699,-0.052913,-0.050585
2689_2023,0.389014,0.173126,0.158619,0.185493,0.171817
2786_2018,0.01962,0.008538,0.008147,0.009137,0.008825
2786_2019,0.224095,0.115766,0.111499,0.123858,0.120777
2786_2020,0.072744,0.04381,0.040439,0.04693,0.043804
2786_2021,0.003769,0.002642,0.002443,0.00283,0.002646
2786_2022,-0.069705,-0.051425,-0.048065,-0.055068,-0.052064
2786_2023,0.003788,0.0029,0.00274,0.003105,0.002968
2786_2024,0.015107,0.011938,0.011535,0.012771,0.012495
2791_2015,-0.412885,-0.308581,-0.286217,-0.330511,-0.310032
2791_2016,-0.021661,-0.015829,-0.014748,-0.016952,-0.015975
2791_2017,-0.032404,-0.024515,-0.023672,-0.026227,-0.025641
2791_2018,-0.027908,-0.021127,-0.020464,-0.022599,-0.022167
2791_2020,-0.02983,-0.021906,-0.021121,-0.023437,-0.022878
2791_2021,-0.052159,-0.039653,-0.038155,-0.042426,-0.041329
2791_2022,-0.019884,-0.015937,-0.015136,-0.017058,-0.016395
2791_2023,-0.04726,-0.042918,-0.040819,-0.045935,-0.044215
2791_2024,-0.051267,-0.045188,-0.043209,-0.048356,-0.046804
2987_2015,0.010518,0.014051,0.013737,0.015027,0.01488
2987_2016,0.017135,0.024116,0.023565,0.02579,0.025526
2987_2017,0.031556,0.043682,0.042751,0.046712,0.046308
2987_2018,0.017276,0.025402,0.024812,0.027165,0.026877
2987_2019,-0.004119,-0.006073,-0.005903,-0.006495,-0.006394
2987_2020,0.035159,0.05131,0.05006,0.054874,0.054225
2987_2021,0.009011,0.01349,0.013155,0.014427,0.014249
2987_2022,0.031969,0.04949,0.048243,0.05293,0.052257
2987_2023,0.043144,0.067349,0.065656,0.072029,0.071118
2987_2024,0.030201,0.04796,0.046011,0.051318,0.049839
2988_2019,0.051151,0.023775,0.022709,0.025443,0.024599
2988_2020,0.029071,0.01425,0.013486,0.015254,0.014609
2988_2021,0.359851,0.204572,0.193638,0.218984,0.20975
2988_2022,0.274371,0.177119,0.16804,0.189584,0.182021
2988_2024,-0.008204,-0.006191,-0.005976,-0.006624,-0.006473
2999_2019,0.046763,0.064576,0.063269,0.069053,0.068533
2999_2020,0.048746,0.066276,0.06455,0.070884,0.069921
2999_2021,0.067176,0.092789,0.090115,0.099249,0.097613
2999_2022,0.145008,0.202577,0.196733,0.216681,0.213102
2999_2023,0.003455,0.005107,0.004969,0.005462,0.005383
2999_2024,0.044571,0.065263,0.063337,0.069809,0.068607
